date,open,high,low,close,volume,return_pct,near_limit
2024-08-15,13110.0,13190.0,12850.0,12850.0,4331890,-1.9832189168573655,False
2024-08-16,12850.0,13780.0,12850.0,13700.0,18160423,6.6147859922178975,True
2024-08-19,13700.0,13870.0,12770.0,13440.0,9406811,-1.897810218978102,False
2024-08-20,13440.0,13780.0,13270.0,13610.0,9379449,1.2648809523809534,False
2024-12-03,11160.0,11250.0,11080.0,11080.0,3842821,-0.7168458781361964,False
2024-12-04,10990.0,11080.0,10820.0,10910.0,6242540,-1.534296028880866,False
2024-12-05,10820.0,11840.0,10740.0,11750.0,17358352,7.699358386801092,True
2024-12-06,11840.0,11920.0,11500.0,11500.0,8256269,-2.127659574468088,False
2024-12-09,11410.0,11750.0,11330.0,11500.0,5484760,0.0,False
2025-01-24,9810.0,10910.0,9810.0,10820.0,5764540,0.0,False
2025-02-03,10650.0,11080.0,10650.0,10910.0,14638670,0.8317929759704246,False
2025-02-04,10320.0,11750.0,9890.0,11670.0,25304055,6.966086159486706,True
2025-02-05,11080.0,11750.0,10650.0,11580.0,6781706,-0.7712082262210762,False
2025-02-06,10480.0,11840.0,10480.0,11580.0,10602630,0.0,False
2025-04-01,12180.0,12600.0,12180.0,12600.0,11534743,3.4482758620689724,False
2025-04-02,12600.0,12770.0,12510.0,12600.0,12082852,0.0,False
2025-04-03,12090.0,12430.0,11410.0,11410.0,30358160,-9.444444444444445,True
2025-04-04,11080.0,11330.0,10480.0,11250.0,25269993,-1.4022787028922012,False
2025-04-08,10990.0,11250.0,10150.0,10150.0,17486830,-9.777777777777775,True
2025-04-09,9130.0,10570.0,9130.0,9890.0,28649985,-2.5615763546798065,False
2025-04-10,10650.0,10820.0,10650.0,10820.0,1946740,9.403437815975725,True
2025-04-11,11840.0,11840.0,11080.0,11580.0,23896542,7.024029574861368,True
2025-04-14,11670.0,12180.0,11410.0,11920.0,19493699,2.936096718480141,False
2025-04-15,11330.0,12090.0,11330.0,11750.0,14808584,-1.4261744966442946,False
2025-07-14,14700.0,15200.0,14400.0,14700.0,31850700,0.6849315068493178,False
2025-07-15,14800.0,15700.0,14800.0,15000.0,50635000,2.0408163265306145,False
2025-07-16,15100.0,16200.0,15000.0,16200.0,59298600,8.000000000000007,True
2025-07-17,16200.0,17200.0,16200.0,16500.0,48655800,1.85185185185186,False
2025-07-18,16500.0,17500.0,16400.0,16800.0,39058100,1.8181818181818077,False
2025-07-24,17800.0,18100.0,17400.0,17800.0,33213400,0.0,False
2025-07-25,17800.0,18900.0,17700.0,18600.0,45729700,4.494382022471921,False
2025-07-28,18700.0,20400.0,18700.0,20400.0,43611100,9.677419354838701,True
2025-07-29,20400.0,22100.0,19800.0,19800.0,91757500,-2.941176470588236,False
2025-07-30,19700.0,21700.0,19600.0,21700.0,60012700,9.595959595959602,True
2025-07-31,21900.0,23800.0,21700.0,23000.0,51747400,5.990783410138256,False
2025-08-01,23000.0,23300.0,21000.0,21500.0,71746800,-6.521739130434778,True
2025-08-04,21500.0,23600.0,20500.0,23600.0,58496800,9.76744186046512,True
2025-08-05,23600.0,25200.0,21400.0,23200.0,80318600,-1.6949152542372836,False
2025-08-06,23300.0,24400.0,23000.0,24200.0,44736600,4.31034482758621,False
2025-08-22,26600.0,26600.0,24500.0,25100.0,46412100,-5.6390977443609,False
2025-08-25,25100.0,25800.0,23000.0,24000.0,35734700,-4.3824701195219085,False
2025-08-26,23600.0,26400.0,22200.0,26300.0,35521400,9.583333333333343,True
2025-08-27,26300.0,27500.0,26300.0,26400.0,39019500,0.3802281368821214,False
2025-08-28,26500.0,27400.0,25800.0,27300.0,36086300,3.409090909090917,False
2025-08-29,27300.0,29500.0,27300.0,29200.0,44137500,6.959706959706957,True
2025-09-03,29700.0,30000.0,28000.0,28600.0,35051100,-2.0547945205479423,False
2025-09-04,28600.0,29400.0,28500.0,29100.0,20442600,1.7482517482517501,False
2025-09-05,29200.0,29700.0,27000.0,27000.0,33622800,-7.216494845360821,True
2025-09-08,27000.0,27500.0,25100.0,25300.0,57663000,-6.296296296296299,False
2025-09-09,25100.0,26800.0,24800.0,26800.0,27910600,5.928853754940722,False
2025-10-02,26100.0,26200.0,25000.0,25000.0,17179900,-3.100775193798455,False
2025-10-03,25100.0,25100.0,24300.0,24300.0,17500700,-2.8000000000000025,False
2025-10-06,24300.0,26700.0,24300.0,26700.0,33015700,9.876543209876543,True
2025-10-07,27000.0,27400.0,26200.0,26300.0,23687900,-1.4981273408239737,False
2025-10-08,27000.0,28200.0,26100.0,26600.0,37991400,1.1406844106463865,False
2025-10-16,27100.0,27800.0,27000.0,27300.0,25918800,1.1111111111111072,False
2025-10-17,27300.0,28200.0,27100.0,27400.0,31139000,0.366300366300365,False
2025-10-20,27600.0,28000.0,24700.0,24700.0,49358400,-9.85401459854015,True
2025-10-21,24700.0,25600.0,23600.0,24800.0,34701100,0.4048582995951344,False
2025-10-22,25000.0,25400.0,23600.0,24900.0,27540900,0.40322580645162365,False
2025-10-30,23900.0,24100.0,22800.0,23100.0,20367600,-3.749999999999998,False
2025-10-31,23100.0,23400.0,22900.0,23000.0,15495600,-0.43290043290042934,False
2025-11-03,23000.0,23200.0,20800.0,20800.0,42867600,-9.565217391304348,True
2025-11-04,20700.0,22800.0,20200.0,22800.0,35928800,9.615384615384626,True
2025-11-05,23000.0,23200.0,22500.0,22600.0,19017700,-0.8771929824561431,False
2025-11-06,22500.0,23100.0,22000.0,22600.0,19963500,0.0,False
2026-01-08,19400.0,20100.0,19200.0,19700.0,26794100,1.546391752577314,False
2026-01-09,19700.0,19900.0,18700.0,18800.0,18677300,-4.5685279187817285,False
2026-01-12,18800.0,20600.0,18800.0,20600.0,27350700,9.57446808510638,True
2026-01-13,20800.0,22000.0,20800.0,20800.0,28713800,0.9708737864077666,False
2026-01-14,20900.0,21300.0,20100.0,20800.0,22393000,0.0,False
2026-03-04,18200.0,18800.0,17700.0,18800.0,23964400,2.732240437158473,False
2026-03-05,18800.0,20600.0,18800.0,19700.0,46292500,4.78723404255319,False
2026-03-06,19700.0,19800.0,18300.0,18400.0,28098300,-6.598984771573601,True
2026-03-09,18000.0,18000.0,16600.0,16600.0,22527100,-9.782608695652172,True
2026-03-10,16500.0,18100.0,16100.000000000002,16600.0,34412900,0.0,False
2026-03-11,16700.0,17700.0,16200.0,17400.0,14671300,4.819277108433728,False
2026-03-19,15900.0,16200.0,15400.0,15700.0,21030900,-3.0864197530864224,False
2026-03-20,15000.0,16300.0,14500.0,16000.0,17057000,1.9108280254777066,False
2026-03-23,16000.0,16000.0,14800.0,14800.0,18999700,-7.499999999999996,True
2026-03-24,15600.0,15800.0,15200.0,15400.0,9864700,4.054054054054057,False
2026-03-25,15400.0,16300.0,15400.0,16000.0,17691500,3.8961038961038863,False
2026-03-26,16000.0,16200.0,14600.0,15900.0,13001400,-0.6249999999999978,False
2026-03-27,15900.0,17100.0,15800.0,17100.0,27286600,7.547169811320753,True
2026-03-30,16500.0,16900.0,15800.0,16700.0,11768500,-2.3391812865497075,False
2026-03-31,16600.0,17200.0,16600.0,16700.0,16486800,0.0,False
2026-04-06,16900.0,17100.0,16500.0,16500.0,9889900,-2.3668639053254448,False
2026-04-07,16500.0,17200.0,16400.0,17200.0,11287900,4.2424242424242475,False
2026-04-08,17800.0,18800.0,17800.0,18600.0,32378300,8.139534883720923,True
2026-04-09,18600.0,18700.0,18000.0,18000.0,22323000,-3.2258064516129004,False
2026-04-10,18500.0,18600.0,17800.0,17900.0,29125700,-0.5555555555555536,False
2026-07-16,16800.0,17000.0,16000.0,16900.0,23079600,0.5952380952380931,False
2026-07-17,16800.0,17100.0,16400.0,16400.0,6254100,-2.9585798816568087,False
2026-07-20,16300.0,16400.0,14900.0,15000.0,25730400,-8.536585365853655,True
2026-07-21,15000.0,15600.0,14600.0,15000.0,13082900,0.0,False
2026-07-22,15000.0,15800.0,15000.0,15400.0,16202600,2.6666666666666616,False
