symbol,date,ret_1,ret_2,ret_5,ret_10,ret_20,range_1,intraday_return,overnight_gap,volatility_5,volatility_10,volatility_20,distance_ma20,distance_ma50,distance_ma200,relative_volume_5,relative_volume_20,drawdown_20,drawdown_60,rsi_14,atr_14,vnindex_ret_1,vnindex_ret_5,vnindex_ret_20,vnindex_ret_60,vnindex_volatility_5,vnindex_volatility_20,vnindex_distance_ma20,vnindex_distance_ma200,relative_strength_5,relative_strength_20,rolling_beta_60,rolling_correlation_60,market_regime,future_return,target,split
HPG,2025-09-15,0.0287898671787,0.0388324390269,0.0407753189852,0.114614051739,0.0651859798847,0.032144949543,0.0268701123176,0.00191975486105,0.0123673272438,0.0242643441265,0.0258376476431,0.0701940176234,0.120361460904,0.291302513411,0.176863289929,0.181469861851,0,0,65.1436031332,0.0368611970554,0.00572029914619,0.000173953207026,0.033954086078,0.213427877334,0.0145729200611,0.014565237751,0.00584954789076,0.232019622931,0.0406013657782,0.0312318938067,0.947970743758,0.538728690133,BULL,0.011509315834,UP,validation
PNJ,2025-09-15,0.0206775945407,0.0206775945407,0.00913729780186,0.0312692023966,0,0.0297688208229,0.0172904801518,0.00338711438896,0.0182703405384,0.0152348856741,0.0134073748435,0.0252133993257,0.0275683817371,0.0174227189408,0.388695489682,0.0178180457478,-0.00435388366423,-0.0254006137061,58.7053571429,0.0197281291387,0.00572029914619,0.000173953207026,0.033954086078,0.213427877334,0.0145729200611,0.014565237751,0.00584954789076,0.232019622931,0.00896334459484,-0.033954086078,0.362794940875,0.257520960457,BULL,0.00209680314461,NO_TRADE,validation
SHS,2025-09-15,0,-0.0228146777662,-0.0377403279828,-0.0152674721308,0.0432287345508,0.0229017642867,0,0,0.0442675006707,0.0472490897692,0.0435055261149,-0.017199017199,0.189387008234,0.80600705732,-0.566305294588,-0.631973356218,-0.109589041096,-0.109589041096,48,0.0771978021978,0.00572029914619,0.000173953207026,0.033954086078,0.213427877334,0.0145729200611,0.014565237751,0.00584954789076,0.232019622931,-0.0379142811899,0.00927464847285,2.18964468566,0.657833020467,BULL,0.0228146777662,UP,validation
VCB,2025-09-15,0.00139028368729,0,-0.0256033491833,-0.0489518706138,0.0514720529908,0.0182695900497,-0.00615575966623,0.00754604335352,0.0173121654865,0.01789632637,0.023803734256,9.26297588539e-05,0.0422968502619,0.0767039363352,-0.174914380862,-0.507700013673,-0.0477730413053,-0.0477730413053,54.9968173138,0.0326710183919,0.00572029914619,0.000173953207026,0.033954086078,0.213427877334,0.0145729200611,0.014565237751,0.00584954789076,0.232019622931,-0.0257773023903,0.0175179669128,0.764479714214,0.538562908468,BULL,0,NO_TRADE,validation
FPT,2025-09-16,0.0029194161773,-0.00100472227883,0,-0.0252122535596,-0.018425898525,0.0194879499714,0,0.0029194161773,0.00644716130715,0.01448374082,0.020702428714,0.00255981295225,-0.0335892812733,-0.0840166991085,0.723934471106,0.348209409378,-0.0295580918935,-0.0910087719298,57.6693766938,0.025101958757,0.0105246544492,0.036487671685,0.0265893298015,0.22009165188,0.00268833308779,0.0142234213339,0.0151378997569,0.242957921164,-0.036487671685,-0.0450152283266,0.618343686095,0.438987955012,BULL,0.015559859107,UP,validation
HPG,2025-09-16,0.011509315834,0.0402991830126,0.0487901641694,0.113225331475,0.0731146274808,0.0246290706731,0.00295748829248,0.0085518275415,0.0121293596512,0.0242591817569,0.0259035793157,0.0784664994626,0.127228241873,0.303779709838,0.135428325864,-0.00283197344032,0,0,78.869047619,0.0351473922902,0.0105246544492,0.036487671685,0.0265893298015,0.22009165188,0.00268833308779,0.0142234213339,0.0151378997569,0.242957921164,0.0123024924844,0.0465252976793,0.948491269343,0.54239951992,BULL,-0.0130040844232,DOWN,validation
PNJ,2025-09-16,0.00209680314461,0.0227743976853,0.0391578769359,0.029763047221,0.00209680314461,0.0101755263945,0.00209680314461,0,0.00821448215776,0.0152371014748,0.0134155704077,0.0272547964856,0.0283574641628,0.0198668423114,-0.0290360241025,-0.34316066341,-0.0022640195054,-0.0233549266962,62.8504672897,0.0190260080293,0.0105246544492,0.036487671685,0.0265893298015,0.22009165188,0.00268833308779,0.0142234213339,0.0151378997569,0.242957921164,0.00267020525084,-0.0244925266569,0.361025649148,0.257061337709,BULL,0.0057436412359,UP,validation
SHS,2025-09-16,0.0228146777662,0.0228146777662,0.0501068200542,-0.0259754864033,0.0383188643021,0.0454623740768,0.0228146777662,0,0.031274836461,0.0464816140203,0.0433673195012,0.00358422939068,0.202314228892,0.837828874641,-0.172814974507,-0.459611100538,-0.0890410958904,-0.0890410958904,55.3191489362,0.0730397422127,0.0105246544492,0.036487671685,0.0265893298015,0.22009165188,0.00268833308779,0.0142234213339,0.0151378997569,0.242957921164,0.0136191483692,0.0117295345006,2.18690344649,0.661322393314,BULL,-0.00754720563538,DOWN,validation
VCB,2025-09-16,0,0.00139028368729,0.00759281558959,-0.04748084946,0.0091494784195,0.00756935721867,-0.00308261649777,0.00308261649777,0.00735586616009,0.0179336060443,0.0218882570919,-0.000362634734235,0.0396972391368,0.0762406339818,-0.0618018064115,-0.506593237853,-0.0477730413053,-0.0477730413053,53.8511749347,0.0294182507829,0.0105246544492,0.036487671685,0.0265893298015,0.22009165188,0.00268833308779,0.0142234213339,0.0151378997569,0.242957921164,-0.0288948560954,-0.017439851382,0.757926549273,0.53571463517,BULL,-0.0029373136988,NO_TRADE,validation
FPT,2025-09-17,0.015559859107,0.0184792752843,0.0136517490629,0.0184792752843,0.0204976431105,0.0270460786768,0.00774966620688,0.00781019290015,0.00958459488811,0.0123294792085,0.0203074216545,0.0172307041786,-0.017871549574,-0.069185993755,0.684424638197,0.68225298976,-0.014340064384,-0.0767543859649,61.5850580515,0.0245023187422,-0.00237685060499,0.0262686054361,0.0307493494385,0.219706369238,0.00503288491929,0.0141324576383,0.0111774541537,0.237939543935,-0.0126168563732,-0.010251706328,0.606898390482,0.427872223514,BULL,0.0191154180955,UP,validation
